('V.PTCP', 0.02336448598130841)
('VOC', 0.041666666666666664)
('NOM', 0.04794520547945205)
('ADJ', 0.05945945945945946)
('NEUT', 0.06918238993710692)
('ABL', 0.0891089108910891)
('ACC', 0.1038961038961039)
('DAT', 0.11363636363636363)
('GEN', 0.12213740458015267)
('PROPN', 0.13043478260869565)
('N', 0.1411764705882353)
('SG', 0.15047619047619049)
('PL', 0.16620498614958448)
('LOC', 0.3333333333333333)
('IMP', 0.5625)
('1', 0.6)
('3', 0.6388888888888888)
('PRS', 0.6538461538461539)
('ACT', 0.6639344262295082)
('IND', 0.6666666666666666)
('FUT', 0.6666666666666666)
('NFIN', 0.6666666666666666)
('V.MSDR', 0.6666666666666666)
('V', 0.6715328467153284)
('PST', 0.7)
('IPFV', 0.7)
('SBJV', 0.7)
('2', 0.72)
('PASS', 1.0)
